"teamName","teamId","triCode","lightLogo"
"Montréal Canadiens",8,"MTL","https://assets.nhle.com/logos/nhl/svg/MTL_light.svg"
"Buffalo Sabres",7,"BUF","https://assets.nhle.com/logos/nhl/svg/BUF_light.svg"
"New York Islanders",2,"NYI","https://assets.nhle.com/logos/nhl/svg/NYI_light.svg"
"San Jose Sharks",28,"SJS","https://assets.nhle.com/logos/nhl/svg/SJS_light.svg"
"Columbus Blue Jackets",29,"CBJ","https://assets.nhle.com/logos/nhl/svg/CBJ_light.svg"
"Arizona Coyotes",53,"ARI","https://assets.nhle.com/logos/nhl/svg/ARI_light.svg"
"Florida Panthers",13,"FLA","https://assets.nhle.com/logos/nhl/svg/FLA_light.svg"
"Carolina Hurricanes",12,"CAR","https://assets.nhle.com/logos/nhl/svg/CAR_light.svg"
"Vegas Golden Knights",54,"VGK","https://assets.nhle.com/logos/nhl/svg/VGK_light.svg"
"Winnipeg Jets",52,"WPG","https://assets.nhle.com/logos/nhl/svg/WPG_light.svg"
"Tampa Bay Lightning",14,"TBL","https://assets.nhle.com/logos/nhl/svg/TBL_light.svg"
"Nashville Predators",18,"NSH","https://assets.nhle.com/logos/nhl/svg/NSH_light.svg"
"New Jersey Devils",1,"NJD","https://assets.nhle.com/logos/nhl/svg/NJD_light.svg"
"Ottawa Senators",9,"OTT","https://assets.nhle.com/logos/nhl/svg/OTT_light.svg"
"Colorado Avalanche",21,"COL","https://assets.nhle.com/logos/nhl/svg/COL_light.svg"
"Washington Capitals",15,"WSH","https://assets.nhle.com/logos/nhl/svg/WSH_light.svg"
"Los Angeles Kings",26,"LAK","https://assets.nhle.com/logos/nhl/svg/LAK_light.svg"
"NHL",99,"NHL","https://assets.nhle.com/logos/nhl/svg/NHL_light.svg"
"Toronto Maple Leafs",10,"TOR","https://assets.nhle.com/logos/nhl/svg/TOR_light.svg"
"Edmonton Oilers",22,"EDM","https://assets.nhle.com/logos/nhl/svg/EDM_light.svg"
"Calgary Flames",20,"CGY","https://assets.nhle.com/logos/nhl/svg/CGY_light.svg"
"St. Louis Blues",19,"STL","https://assets.nhle.com/logos/nhl/svg/STL_light.svg"
"Detroit Red Wings",17,"DET","https://assets.nhle.com/logos/nhl/svg/DET_light.svg"
"New York Rangers",3,"NYR","https://assets.nhle.com/logos/nhl/svg/NYR_light.svg"
"Utah Hockey Club",59,"UTA","https://assets.nhle.com/logos/nhl/svg/UTA_light.svg"
"Utah Mammoth",68,"UTA","https://assets.nhle.com/logos/nhl/svg/UTA_light.svg"
"Anaheim Ducks",24,"ANA","https://assets.nhle.com/logos/nhl/svg/ANA_light.svg"
"Vancouver Canucks",23,"VAN","https://assets.nhle.com/logos/nhl/svg/VAN_light.svg"
"Philadelphia Flyers",4,"PHI","https://assets.nhle.com/logos/nhl/svg/PHI_light.svg"
"Chicago Blackhawks",16,"CHI","https://assets.nhle.com/logos/nhl/svg/CHI_light.svg"
"Seattle Kraken",55,"SEA","https://assets.nhle.com/logos/nhl/svg/SEA_light.svg"
"Pittsburgh Penguins",5,"PIT","https://assets.nhle.com/logos/nhl/svg/PIT_light.svg"
"Boston Bruins",6,"BOS","https://assets.nhle.com/logos/nhl/svg/BOS_light.svg"
"Minnesota Wild",30,"MIN","https://assets.nhle.com/logos/nhl/svg/MIN_light.svg"
"Dallas Stars",25,"DAL","https://assets.nhle.com/logos/nhl/svg/DAL_light.svg"
